image_name,prompt
1-1252426161dfXY.jpg,"A curly-haired woman wearing a red dress and carrying a satchel, playing with her mobile phone"
1-1255621189mTnS.jpg,A curly-haired woman in a white dress and brown hat
1-1259162624NMFK.jpg,A curly-haired woman in a red dress with a small card in her hand
1-1259245823Un3j.jpg,"A picture of a girl with only the top half of her body, arms folded, dressed in black, standing on her side with slightly curly hair"
035A4301.jpg,"A three-dimensional shaped, slightly transparent plastic bag"
035A4302.jpg,A three-dimensional plastic bag with a partially cylindrical shape
035A4304.jpg,A piece of clear plastic
035A4305.jpg,"A clear plastic bag containing a small amount of peanuts, somewhat yellowed"
035A4308.jpg,A somewhat yellowed transparent sculpture
035A4310.jpg,A crystal clear transparent sculpture
035A4311.jpg,"A yellow plastic bag containing a small amount of something, tied in a knot"
035A4313.jpg,"A yellow plastic bag containing a small amount of something, tied in a knot"
035A4316.jpg,A roll of barbed wire with small diamond-shaped holes
035A4320.jpg,A roll of barbed wire with small diamond-shaped holes
035A4321.jpg,A piece of wire mesh with small diamond-shaped holes
035A4323.jpg,A roll of barbed wire with small diamond-shaped holes and a small piece of barbed wire with small diamond-shaped holes
035A4326.jpg,A white fabric with various textures
035A4327.jpg,A white fabric with various textures
035A4329.jpg,A white fabric with various textures
035A4330.jpg,A white fabric with various textures
035A4331.jpg,A white fabric with various textures
035A4332.jpg,A piece of white embroidery with a slight pattern with very small holes
035A4334.jpg,A piece of white embroidery with a slight pattern with very small holes
035A4335.jpg,A piece of white embroidery with a slight pattern with very small holes
035A4336.jpg,A small piece of blue plastic netting
035A4338.jpg,A large piece of blue plastic netting
035A4340.jpg,A small piece of brown plastic netting
035A4430.jpg,"A green, perforated plastic bag"
035A4431.jpg,"A green, perforated plastic bag"
035A4432.jpg,"A green, perforated plastic bag"
035A4435.jpg,A black and white toned press-on hand sanitiser bottle in transparent material with a tapered body and a press-on pump tip at the top
035A4436.jpg,A photo of a clear white glass
035A4438.jpg,"Two transparent ornaments with motifs of the Colosseum and the Eiffel Tower, the upper one with ‘ROMA’ and ‘COLOSSEO’ and the lower one with the Eiffel Tower and fireworks"
035A4440.jpg,A photograph showing disposable plastic packaging with a slightly creased surface and green and blue colours on the bottom
035A4441.jpg,A slanted plastic bag with green and pink layers at the bottom of the bag
035A4442.jpg,"An image showing the art of transforming a clear plastic bag, which is moulded into a shape that seems to be dancing or flying"
035A4446.jpg,"A photograph showing a strand of blonde hair on a dark background, the hair looks very soft and fine"
035A4447.jpg,White fabric with fine texture and small holes with delicate stitching around the edges
035A4448.jpg,"A white mesh fabric with small, evenly distributed holes in the mesh material"
035A4449.jpg,A white fabric surface with tiny holes and textures in the fabric and some irregularities in the edges of the fabric
035A4450.jpg,A photograph of a white mesh material with tiny holes and textures on the surface of the material
035A4452.jpg,A photograph of a white mesh material with tiny holes and textures on the surface of the material
035A4453.jpg,A photograph of a white mesh material with tiny holes and textures on the surface of the material
035A4454.jpg,A photograph of a white mesh material with tiny holes and textures on the surface of the material
035A4455.jpg,A photograph of a white mesh material with tiny holes and textures on the surface of the material
035A4456.jpg,White fabric with fine holes and water droplets
035A4457.jpg,White fabric with fine holes
035A4458.jpg,White fabric with fine holes
035A4461.jpg,White fabric with fine holes
035A4463.jpg,"Blue mesh material, detailed textures, light and shadow effects, clean background"
035A4467.jpg,A blue unicorn doll with gorgeous blue and purple fur
035A4468.jpg,Blue and silver-white hair decorations combined with fuchsia fabric
035A4474.jpg,Head of black and red hair
035A4475.jpg,White plush fabric with pink ribbon trim
035A4476.jpg,A white fabric with very tiny holes
035A4477.jpg,"A fabric of grid-like material, the grid showing a regular hexagonal pattern"
035A4478.jpg,A white fabric or film of fine granular texture
035A4508.jpg,Close-up of the white fabric with a fine patterned surface and crisp detailing
035A4509.jpg,"A white fabric with tiny micro-perforations, a little ruffled"
035A4510.jpg,White fabric with small holes in the surface
035A4512.jpg,A delicate piece of lace material with a delicate pattern and intricate woven structure that highlights the elegance and sophistication of lace
035A4513.jpg,"Fine lace fabric, intricately textured and beautifully patterned with visible stitching around the edges"
035A4514.jpg,"Fine lace fabric, intricately textured and beautifully patterned with visible stitching around the edges"
035A4515.jpg,A transparent fabric with golden glitter scattered throughout
035A4516.jpg,A delicate sheer fabric embellished with gold glitter
035A4517.jpg,"An image of a beautifully gauzy fabric that is light and sheer, with tiny highlights dotted across the surface, possibly embroidery or sequin embellishments"
035A4523.jpg,A blue silk scarf fabric with smooth lines and a light texture
035A4525.jpg,A blue mesh fabric with a lightweight texture with subtle detailed and texture
035A4526.jpg,"A blue gossamer veil, the yarn is delicately textured and light and airy"
